address,price,url,beds,baths,sqft,units,status,home_status,property_subtype,home_type,city,state,zipcode,latitude,longitude,zpid,monthly_rent,total_actual_rent,price_per_sqft,annual_property_tax,down_payment,loan_amount,monthly_mortgage_pi,monthly_taxes,monthly_insurance,monthly_vacancy,monthly_maintenance,monthly_management,monthly_capex,monthly_expenses,monthly_noi,monthly_cash_flow,cash_on_cash_return
"4601 E Copper Point Dr, Meridian, ID 83642",869999,https://www.zillow.com/homedetails/4601-E-Copper-Point-Dr-Meridian-ID-83642/338344712_zpid/,3.0,3.0,2533,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.582706,-116.33679,338344712,2000.0,2000.0,343.46585076983814,10439.988,173999.80000000002,695999.2,4747.941451780842,869.9989999999999,253.7497083333333,100.0,100.0,160.0,100.0,6331.690160114175,416.2512916666667,-4331.690160114175,-29.873759579821414
"6112 S Phoebe Pl, Meridian, ID 83642",870000,https://www.zillow.com/homedetails/6112-S-Phoebe-Pl-Meridian-ID-83642/339433733_zpid/,3.0,3.0,3069,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.549145,-116.35729,339433733,2000.0,2000.0,283.47996089931576,10440.0,174000.0,696000.0,4747.946909191083,870.0,253.74999999999997,100.0,100.0,160.0,100.0,6331.696909191083,416.25,-4331.696909191083,-29.87377178752471
"719 W Oak Springs Dr, Meridian, ID 83642",874880,https://www.zillow.com/homedetails/719-W-Oak-Springs-Dr-Meridian-ID-83642/461919778_zpid/,4.0,3.0,2527,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.568607,-116.4028,461919778,2000.0,2000.0,346.21290067273446,10498.56,174976.0,699904.0,4774.579071164477,874.88,255.1733333333333,100.0,100.0,160.0,100.0,6364.63240449781,409.9466666666667,-4364.63240449781,-29.93301301548425
"2653 E Cavern Dr, Meridian, ID 83642",874900,https://www.zillow.com/homedetails/2653-E-Cavern-Dr-Meridian-ID-83642/461813601_zpid/,3.0,4.0,2868,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.542355,-116.361244,461813601,2000.0,2000.0,305.0557880055788,10498.800000000001,174980.0,699920.0,4774.688219369285,874.9000000000001,255.17916666666665,100.0,100.0,160.0,100.0,6364.767386035952,409.92083333333335,-4364.767386035952,-29.93325444761197
"3771 W Silver Terrace Rd, Meridian, ID 83642",879000,https://www.zillow.com/homedetails/3771-W-Silver-Terrace-Rd-Meridian-ID-83642/79621798_zpid/,3.0,2.0,1966,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.591415,-116.4406,79621798,2000.0,2000.0,447.10071210579855,10548.0,175800.0,703200.0,4797.063601355129,879.0,256.37499999999994,100.0,100.0,160.0,100.0,6392.438601355129,404.625,-4392.438601355129,-29.98251605020566
"6789 E Messner Way, Meridian, ID 83642",889900,https://www.zillow.com/homedetails/6789-E-Messner-Way-Meridian-ID-83642/461525504_zpid/,4.0,4.0,3150,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.542942,-116.36162,461525504,2000.0,2000.0,282.5079365079365,10678.800000000001,177980.0,711920.0,4856.549372976028,889.9000000000001,259.5541666666666,100.0,100.0,160.0,100.0,6466.003539642696,390.54583333333335,-4466.003539642696,-30.111272320323828
"2864 E Mardia St, Meridian, ID 83642",893400,https://www.zillow.com/homedetails/2864-E-Mardia-St-Meridian-ID-83642/461310661_zpid/,5.0,4.0,3074,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55085,-116.35567,461310661,2000.0,2000.0,290.63109954456735,10720.800000000001,178680.0,714720.0,4875.650308817601,893.4000000000001,260.575,100.0,100.0,160.0,100.0,6489.625308817601,386.02499999999986,-4489.625308817601,-30.15194968984285
"5562 S Astoria Ave, Meridian, ID 83642",894900,https://www.zillow.com/homedetails/5562-S-Astoria-Ave-Meridian-ID-83642/249555352_zpid/,4.0,4.0,3207,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55429,-116.344696,249555352,2000.0,2000.0,279.0458372310571,10738.800000000001,178980.0,715920.0,4883.836424178276,894.9000000000001,261.0125,100.0,100.0,160.0,100.0,6499.748924178276,384.08749999999986,-4499.748924178276,-30.16928544537899
"4447 E Copper Point Dr, Meridian, ID 83642",897500,https://www.zillow.com/homedetails/4447-E-Copper-Point-Dr-Meridian-ID-83642/336014826_zpid/,4.0,3.0,2446,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.582733,-116.338745,336014826,2000.0,2000.0,366.9255928045789,10770.0,179500.0,718000.0,4898.025690803445,897.5,261.7708333333333,100.0,100.0,160.0,100.0,6517.296524136778,380.72916666666674,-4517.296524136778,-30.19919681874169
"2377 S Aburge Ave, Meridian, ID 83642",898000,https://www.zillow.com/homedetails/2377-S-Aburge-Ave-Meridian-ID-83642/336014823_zpid/,3.0,3.0,2560,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.583282,-116.33956,336014823,2000.0,2000.0,350.78125,10776.0,179600.0,718400.0,4900.754395923669,898.0,261.91666666666663,100.0,100.0,160.0,100.0,6520.671062590336,380.0833333333335,-4520.671062590336,-30.204929148710484
"509 E Pisa Dr, Meridian, ID 83642",899000,https://www.zillow.com/homedetails/509-E-Pisa-Dr-Meridian-ID-83642/331268633_zpid/,3.0,3.0,2809,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.568592,-116.38774,331268633,2000.0,2000.0,320.0427198291207,10788.0,179800.0,719200.0,4906.2118061641195,899.0,262.2083333333333,100.0,100.0,160.0,100.0,6527.4201394974525,378.79166666666674,-4527.4201394974525,-30.21637467962705
"3758 S Merrivale Way, Meridian, ID 83642",899900,https://www.zillow.com/homedetails/3758-S-Merrivale-Way-Meridian-ID-83642/83165063_zpid/,4.0,4.0,3338,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.57088,-116.34998,83165063,2000.0,2000.0,269.59257040143797,10798.800000000001,179980.0,719920.0,4911.123475380524,899.9000000000001,262.4708333333333,100.0,100.0,160.0,100.0,6533.494308713856,377.6291666666666,-4533.494308713856,-30.226653908526657
"2545 E Cavern Dr, Meridian, ID 83642",899900,https://www.zillow.com/homedetails/2545-E-Cavern-Dr-Meridian-ID-83642/460318028_zpid/,4.0,4.0,3150,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.541935,-116.36279,460318028,2000.0,2000.0,285.6825396825397,10798.800000000001,179980.0,719920.0,4911.123475380524,899.9000000000001,262.4708333333333,100.0,100.0,160.0,100.0,6533.494308713856,377.6291666666666,-4533.494308713856,-30.226653908526657
"1090 E Crescendo St, Meridian, ID 83642",924777,https://www.zillow.com/homedetails/1090-E-Crescendo-St-Meridian-ID-83642/458486110_zpid/,4.0,4.0,3035,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55015,-116.38013,458486110,2000.0,2000.0,304.70411861614497,11097.324,184955.40000000002,739821.6,5046.887469932187,924.777,269.72662499999996,100.0,100.0,160.0,100.0,6701.391094932187,345.49637499999994,-4701.391094932187,-30.502863468266533
"3389 S Lyford Ave, Meridian, ID 83642",924900,https://www.zillow.com/homedetails/3389-S-Lyford-Ave-Meridian-ID-83642/122258667_zpid/,6.0,4.0,3846,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.574036,-116.349815,122258667,2000.0,2000.0,240.48361934477379,11098.800000000001,184980.0,739920.0,5047.558731391762,924.9000000000001,269.7625,100.0,100.0,160.0,100.0,6702.221231391762,345.33749999999986,-4702.221231391762,-30.504192224403255
"3106 E Mores Trl, Saint Meridian, ID 83642",925000,https://www.zillow.com/homedetails/3106-E-Mores-Trl-Saint-Meridian-ID-83642/456985292_zpid/,4.0,4.0,3696,1,New,FOR_SALE,,SINGLE_FAMILY,Saint Meridian,ID,83642,43.55461,-116.35585,456985292,2000.0,2000.0,250.27056277056278,11100.0,185000.0,740000.0,5048.104472415806,925.0,269.79166666666663,100.0,100.0,160.0,100.0,6702.896139082473,345.2083333333335,-4702.896139082473,-30.505272253507936
"4148 E Copper Point Dr, Meridian, ID 83642",925000,https://www.zillow.com/homedetails/4148-E-Copper-Point-Dr-Meridian-ID-83642/306076605_zpid/,4.0,3.0,2533,1,Price Change,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.583374,-116.34245,306076605,2000.0,2000.0,365.1796288985393,11100.0,185000.0,740000.0,5048.104472415806,925.0,269.79166666666663,100.0,100.0,160.0,100.0,6702.896139082473,345.2083333333335,-4702.896139082473,-30.505272253507936
"2752 E Sawtelle Peak, Meridian, ID 83642",929000,https://www.zillow.com/homedetails/2752-E-Sawtelle-Peak-Meridian-ID-83642/456980440_zpid/,7.0,5.0,3678,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55824,-116.36042,456980440,2000.0,2000.0,252.58292550299075,11148.0,185800.0,743200.0,5069.934113377605,929.0,270.9583333333333,100.0,100.0,160.0,100.0,6729.892446710938,340.04166666666674,-4729.892446710938,-30.548282755937166
"2177 E Mores Trail Dr, Meridian, ID 83642",948000,https://www.zillow.com/homedetails/2177-E-Mores-Trail-Dr-Meridian-ID-83642/241995281_zpid/,3.0,3.0,2628,1,Back on Market,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.556034,-116.3676,241995281,2000.0,2000.0,360.73059360730593,11376.0,189600.0,758400.0,5173.624907946146,948.0,276.49999999999994,100.0,100.0,160.0,100.0,6858.124907946146,315.5,-4858.124907946146,-30.74762599965915
"5379 S Mesa Trail Pl, Meridian, ID 83642",949000,https://www.zillow.com/homedetails/5379-S-Mesa-Trail-Pl-Meridian-ID-83642/339431053_zpid/,4.0,4.0,3230,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55576,-116.35732,339431053,2000.0,2000.0,293.80804953560374,11388.0,189800.0,759200.0,5179.082318186595,949.0,276.79166666666663,100.0,100.0,160.0,100.0,6864.873984853262,314.2083333333335,-4864.873984853262,-30.75789663763917
"938 E Crescendo St, Meridian, ID 83642",949777,https://www.zillow.com/homedetails/938-E-Crescendo-St-Meridian-ID-83642/462365046_zpid/,4.0,4.0,3035,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.550114,-116.38222,462365046,2000.0,2000.0,312.9413509060956,11397.324,189955.40000000002,759821.6,5183.322725943425,949.777,277.01829166666664,100.0,100.0,160.0,100.0,6870.118017610092,313.2047083333332,-4870.118017610092,-30.765861992510395
"3116 E Renwick St, Meridian, ID 83642",949825,https://www.zillow.com/homedetails/3116-E-Renwick-St-Meridian-ID-83642/462288775_zpid/,4.0,4.0,3301,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55272,-116.3563,462288775,2000.0,2000.0,287.7385640714935,11397.9,189965.0,759860.0,5183.584681634967,949.8249999999999,277.03229166666665,100.0,100.0,160.0,100.0,6870.441973301633,313.1427083333333,-4870.441973301633,-30.76635363336383
"3428 S Tamayo Pl, Meridian, ID 83642",949900,https://www.zillow.com/homedetails/3428-S-Tamayo-Pl-Meridian-ID-83642/459224069_zpid/,4.0,4.0,2751,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.573593,-116.36999,459224069,2000.0,2000.0,345.29262086513995,11398.800000000001,189980.0,759920.0,5183.993987403,949.9000000000001,277.0541666666666,100.0,100.0,160.0,100.0,6870.948154069667,313.04583333333335,-4870.948154069667,-30.767121722726603
"479 Polar Bear, Meridian, ID 83642",949900,https://www.zillow.com/homedetails/479-Polar-Bear-Meridian-ID-83642/449637258_zpid/,5.0,4.0,4657,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.584682,-116.39961,449637258,2000.0,2000.0,203.97251449430965,11398.800000000001,189980.0,759920.0,5183.993987403,949.9000000000001,277.0541666666666,100.0,100.0,160.0,100.0,6870.948154069667,313.04583333333335,-4870.948154069667,-30.767121722726603
"5937 S Highmark Ave, Meridian, ID 83642",949900,https://www.zillow.com/homedetails/5937-S-Highmark-Ave-Meridian-ID-83642/461738852_zpid/,4.0,3.0,2885,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.5515,-116.38223,461738852,2000.0,2000.0,329.25476603119586,11398.800000000001,189980.0,759920.0,5183.993987403,949.9000000000001,277.0541666666666,100.0,100.0,160.0,100.0,6870.948154069667,313.04583333333335,-4870.948154069667,-30.767121722726603
"4630 E Goldstone Dr, Meridian, ID 83642",969000,https://www.zillow.com/homedetails/4630-E-Goldstone-Dr-Meridian-ID-83642/338346375_zpid/,4.0,3.0,2727,1,For sale by owner,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.5851,-116.33647,338346375,2000.0,2000.0,355.33553355335533,11628.0,193800.0,775200.0,5288.230522995586,969.0,282.62499999999994,100.0,100.0,160.0,100.0,6999.855522995586,288.375,-4999.855522995586,-30.95885772752685
"4718 E Goldstone Dr, Meridian, ID 83642",974000,https://www.zillow.com/homedetails/4718-E-Goldstone-Dr-Meridian-ID-83642/338346014_zpid/,4.0,3.0,2683,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.58468,-116.33542,338346014,2000.0,2000.0,363.02646291464777,11688.0,194800.0,779200.0,5315.517574197833,974.0,284.0833333333333,100.0,100.0,160.0,100.0,7033.600907531166,281.91666666666674,-5033.600907531166,-31.007808465284388
"1901 S Ten Mile Rd, Meridian, ID 83642",975000,https://www.zillow.com/homedetails/1901-S-Ten-Mile-Rd-Meridian-ID-83642/82790870_zpid/,6.0,3.0,3579,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.587486,-116.43473,82790870,2000.0,2000.0,272.4224643755239,11700.0,195000.0,780000.0,5320.974984438283,975.0,284.37499999999994,100.0,100.0,160.0,100.0,7040.349984438283,280.625,-5040.349984438283,-31.01753836577405
"5295 S Mesa Trail Way, Meridian, ID 83642",980000,https://www.zillow.com/homedetails/5295-S-Mesa-Trail-Way-Meridian-ID-83642/338344491_zpid/,4.0,4.0,3406,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.556488,-116.358376,338344491,2000.0,2000.0,287.7275396359366,11760.0,196000.0,784000.0,5348.2620356405305,980.0,285.8333333333333,100.0,100.0,160.0,100.0,7074.0953689738635,274.16666666666674,-5074.0953689738635,-31.065890014125696
"6891 S Utmost Way, Meridian, ID 83642",989777,https://www.zillow.com/homedetails/6891-S-Utmost-Way-Meridian-ID-83642/461028063_zpid/,4.0,4.0,3074,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.54213,-116.36393,461028063,2000.0,2000.0,321.98340923877686,11877.324,197955.40000000002,791821.6,5401.619135561405,989.777,288.6849583333333,100.0,100.0,160.0,100.0,7140.081093894738,261.5380416666667,-5140.081093894738,-31.15902527879353
"5481 S Mesa Trail Pl, Meridian, ID 83642",995000,https://www.zillow.com/homedetails/5481-S-Mesa-Trail-Pl-Meridian-ID-83642/339431054_zpid/,5.0,4.0,3285,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55498,-116.3561,339431054,2000.0,2000.0,302.8919330289193,11940.0,199000.0,796000.0,5430.123189247273,995.0,290.2083333333333,100.0,100.0,160.0,100.0,7175.331522580606,254.79166666666674,-5175.331522580606,-31.2080292818931
"3129 S Silvertip Ln, Meridian, ID 83642",995000,https://www.zillow.com/homedetails/3129-S-Silvertip-Ln-Meridian-ID-83642/79682134_zpid/,4.0,4.0,4166,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.575947,-116.402794,79682134,2000.0,2000.0,238.83821411425828,11940.0,199000.0,796000.0,5430.123189247273,995.0,290.2083333333333,100.0,100.0,160.0,100.0,7175.331522580606,254.79166666666674,-5175.331522580606,-31.2080292818931
"2816 S Bear Claw Way, Meridian, ID 83642",1000000,https://www.zillow.com/homedetails/2816-S-Bear-Claw-Way-Meridian-ID-83642/79696805_zpid/,4.0,4.0,3391,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.579052,-116.40013,79696805,2000.0,2000.0,294.8982601002654,12000.0,200000.0,800000.0,5457.410240449522,1000.0,291.66666666666663,100.0,100.0,160.0,100.0,7209.0769071161885,248.33333333333348,-5209.0769071161885,-31.254461442697128
"3938 S Tavistock Pl, Meridian, ID 83642",1000000,https://www.zillow.com/homedetails/3938-S-Tavistock-Pl-Meridian-ID-83642/83166968_zpid/,4.0,5.0,3730,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.56932,-116.3488,83166968,2000.0,2000.0,268.0965147453083,12000.0,200000.0,800000.0,5457.410240449522,1000.0,291.66666666666663,100.0,100.0,160.0,100.0,7209.0769071161885,248.33333333333348,-5209.0769071161885,-31.254461442697128
"3834 E Englehart Ln, Meridian, ID 83642",1019500,https://www.zillow.com/homedetails/3834-E-Englehart-Ln-Meridian-ID-83642/2054287280_zpid/,4.0,4.0,3002,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.540638,-116.3461,2054287280,2000.0,2000.0,339.60692871419053,12234.0,203900.0,815600.0,5563.829740138287,1019.5,297.35416666666663,100.0,100.0,160.0,100.0,7340.683906804954,223.14583333333348,-5340.683906804954,-31.431195135683886
"3112 E Renwick Dr, Meridian, ID 83642",1138954,https://www.zillow.com/homedetails/3112-E-Renwick-Dr-Meridian-ID-83642/462419214_zpid/,4.0,5.0,3675,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.552475,-116.355965,462419214,2000.0,2000.0,309.9194557823129,13667.448,227790.80000000002,911163.2,6215.739223000944,1138.954,332.19491666666664,100.0,100.0,160.0,100.0,8146.88813966761,68.85108333333346,-6146.88813966761,-32.38175452038068
"2976 E Parulo Dr, Meridian, ID 83642",1155000,https://www.zillow.com/homedetails/2976-E-Parulo-Dr-Meridian-ID-83642/2059963188_zpid/,3.0,3.0,3151,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.54775,-116.356514,2059963188,2000.0,2000.0,366.55030149158995,13860.0,231000.0,924000.0,6303.308827719196,1155.0,336.87499999999994,100.0,100.0,160.0,100.0,8255.183827719196,48.125,-6255.183827719196,-32.49446144269712
"6810 S Pemberley Way, Meridian, ID 83642",1200000,https://www.zillow.com/homedetails/6810-S-Pemberley-Way-Meridian-ID-83642/338345527_zpid/,3.0,3.0,2612,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.54274,-116.358505,338345527,2000.0,2000.0,459.41807044410416,14400.0,240000.0,960000.0,6548.892288539426,1200.0,350.0,100.0,100.0,160.0,100.0,8558.892288539426,-10.0,-6558.892288539426,-32.79446144269713
"3293 W Twin View Ln, Meridian, ID 83642",1224900,https://www.zillow.com/homedetails/3293-W-Twin-View-Ln-Meridian-ID-83642/79612529_zpid/,6.0,3.0,3362,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.566624,-116.43475,79612529,2000.0,2000.0,364.3367043426532,14698.800000000001,244980.0,979920.0,6684.781803526618,1224.9,357.2625,100.0,100.0,160.0,100.0,8726.94430352662,-42.162500000000136,-6726.9443035266195,-32.95098850613088
"3859 Vadonia Ln, Meridian, ID 83642",1299999,https://www.zillow.com/homedetails/3859-Vadonia-Ln-Meridian-ID-83642/2059460275_zpid/,4.0,3.0,2807,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.53961,-116.34579,2059460275,2000.0,2000.0,463.12753829711437,15599.988000000001,259999.80000000002,1039999.2,7094.627855174136,1299.999,379.16637499999996,100.0,100.0,160.0,100.0,9233.793230174137,-139.16537500000004,-7233.793230174137,-33.38676366754498
"500 E Victory Rd, Meridian, ID 83642",1350000,https://www.zillow.com/homedetails/500-E-Victory-Rd-Meridian-ID-83642/79685465_zpid/,3.0,2.0,1420,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.575836,-116.38826,79685465,2000.0,2000.0,950.7042253521126,16200.0,270000.0,1080000.0,7367.503824606853,1350.0,393.74999999999994,100.0,100.0,160.0,100.0,9571.253824606854,-203.75,-7571.253824606854,-33.65001699825269
"4434 W Vaquero Ln, Meridian, ID 83642",1350000,https://www.zillow.com/homedetails/4434-W-Vaquero-Ln-Meridian-ID-83642/79700596_zpid/,5.0,4.0,5243,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.59205,-116.44892,79700596,2000.0,2000.0,257.48617203890905,16200.0,270000.0,1080000.0,7367.503824606853,1350.0,393.74999999999994,100.0,100.0,160.0,100.0,9571.253824606854,-203.75,-7571.253824606854,-33.65001699825269
"7933 S Old Farm Ln, Meridian, ID 83642",1599000,https://www.zillow.com/homedetails/7933-S-Old-Farm-Ln-Meridian-ID-83642/72689807_zpid/,5.0,4.0,4043,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.533634,-116.44298,72689807,2000.0,2000.0,395.4983922829582,19188.0,319800.0,1279200.0,8726.398974478783,1599.0,466.37499999999994,100.0,100.0,160.0,100.0,11251.773974478783,-525.375,-9251.773974478783,-34.71584981042695
"5990 W View Dr, Meridian, ID 83642",1649900,https://www.zillow.com/homedetails/5990-W-View-Dr-Meridian-ID-83642/79654297_zpid/,5.0,5.0,4192,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.595654,-116.46817,79654297,2000.0,2000.0,393.5830152671756,19798.8,329980.0,1319920.0,9004.181155717664,1649.8999999999999,481.2208333333333,100.0,100.0,160.0,100.0,11595.301989050997,-591.1208333333334,-9595.301989050997,-34.894122028187155
"7982 S Old Farm Ln, Meridian, ID 83642",1777000,https://www.zillow.com/homedetails/7982-S-Old-Farm-Ln-Meridian-ID-83642/79691017_zpid/,4.0,6.0,4532,1,Coming Soon,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.53332,-116.44208,79691017,2000.0,2000.0,392.1006178287732,21324.0,355400.0,1421600.0,9697.817997278798,1777.0,518.2916666666666,100.0,100.0,160.0,100.0,12453.109663945464,-755.2916666666665,-10453.109663945464,-35.29468654117771
"414 E Shafer View Dr, Meridian, ID 83642",1850000,https://www.zillow.com/homedetails/414-E-Shafer-View-Dr-Meridian-ID-83642/2078712611_zpid/,4.0,5.0,5362,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.552143,-116.387375,2078712611,2000.0,2000.0,345.02051473330846,22200.0,370000.0,1480000.0,10096.208944831613,1850.0,539.5833333333333,100.0,100.0,160.0,100.0,12945.792278164947,-849.583333333333,-10945.792278164947,-35.49986684810253
"3606 E Columbia Rd, Meridian, ID 83642",2400000,https://www.zillow.com/homedetails/3606-E-Columbia-Rd-Meridian-ID-83642/79649407_zpid/,4.0,3.0,2487,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.534687,-116.34873,79649407,2000.0,2000.0,965.0180940892642,28800.0,480000.0,1920000.0,13097.784577078852,2400.0,700.0,100.0,100.0,160.0,100.0,16657.78457707885,-1560.0,-14657.784577078852,-36.64446144269712
"6521 S Pemberley Way, Meridian, ID 83642",2599000,https://www.zillow.com/homedetails/6521-S-Pemberley-Way-Meridian-ID-83642/338346113_zpid/,5.0,5.0,4265,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.545757,-116.35914,338346113,2000.0,2000.0,609.3786635404455,31188.0,519800.0,2079200.0,14183.809214928304,2599.0,758.0416666666665,100.0,100.0,160.0,100.0,18000.85088159497,-1817.0416666666665,-16000.850881594972,-36.939247899026476
"6805 S Pemberley Way, Meridian, ID 83642",2599800,https://www.zillow.com/homedetails/6805-S-Pemberley-Way-Meridian-ID-83642/338344695_zpid/,6.0,6.0,5063,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.54285,-116.359116,338344695,2000.0,2000.0,513.4900256764764,31197.600000000002,519960.0,2079840.0,14188.175143120665,2599.8,758.275,100.0,100.0,160.0,100.0,18006.250143120666,-1818.0750000000003,-16006.250143120666,-36.940341895039616
"3797 S Rustler Ln, Meridian, ID 83642",2700000,https://www.zillow.com/homedetails/3797-S-Rustler-Ln-Meridian-ID-83642/459158216_zpid/,5.0,7.0,10655,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.57145,-116.42728,459158216,2000.0,2000.0,253.40215861098076,32400.0,540000.0,2160000.0,14735.007649213707,2700.0,787.4999999999999,100.0,100.0,160.0,100.0,18682.50764921371,-1947.5,-16682.50764921371,-37.072239220474906
"4262 S Rustler Ln, Meridian, ID 83642",2999000,https://www.zillow.com/homedetails/4262-S-Rustler-Ln-Meridian-ID-83642/79691125_zpid/,5.0,5.0,7166,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.564613,-116.42456,79691125,2000.0,2000.0,418.5040468880826,35988.0,599800.0,2399200.0,16366.773311108112,2999.0,874.7083333333331,100.0,100.0,160.0,100.0,20700.481644441443,-2333.708333333333,-18700.481644441443,-37.413434433694114
"7165 S Linder Rd, Meridian, ID 83642",6500000,https://www.zillow.com/homedetails/7165-S-Linder-Rd-Meridian-ID-83642/83167143_zpid/,7.0,6.0,6179,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.539654,-116.41443,83167143,2000.0,2000.0,1051.950153746561,78000.0,1300000.0,5200000.0,35473.166562921884,6500.0,1895.833333333333,100.0,100.0,160.0,100.0,44328.99989625522,-6855.833333333332,-42328.99989625522,-39.07292298115866
